Symbol	Description
CRNL	Lyxor International Asse
CRNO	Lyxor International Asse
CRNU	UBS Ag
CRON	Cronin Group Plc
CROS	Crossrider Plc
CRPH	Ishares Vi Plc (The Comp
CRPR	Cropper [James] Plc
CRPS	Ishares Plc
CRPX	Lyxor International Asse
CRRY	Lam Zyfin Global Markets Ucits ETF Plc
CRS	Crystal Amber Fund Limited
CRST	Crest Nicholson Holdings
CRU	Coral Products Plc
CRU1	Ishares Vii Plc
CRUD	ETFS Commodity Securities Limited
CRV	Craven House Capital Plc
CRW	Craneware Plc
CRWN	Crown Place Vct Plc
CRWU	Ossiam Lux
CRX	Cyprotex Plc
CS1	Amundi ETF
CS5	Amundi ETF
CS51	Ishares Vii Plc
CSBR	CS ETF [Ie] Plc
CSCA	CS ETF [Ie] Plc
CSCL	CS ETF [Ie] Plc
CSFG	Csf Group Plc
CSG	Sweett Group Plc
CSH2	Lyxor Index Fund
CSHD	Lyxor International Asse
CSI	Castle Street Investment
CSIA	Multi Units France
CSIL	Multi Units France
CSJP	CS ETF [Ie] Plc
CSKR	CS ETF [Ie] Plc
CSN	Chesnara Plc
CSP1	Ishares Vii Plc
CSPX	CS ETF [Ie] Plc
CSRT	Consort Medical Plc
CSRU	CS ETF [Ie] Plc
CSSG	Croma Security Solutions Group Plc
CSTP	SSGA SPDR ETFS Europe II
CSUK	CS ETF [Ie] Plc
CSUS	CS ETF [Ie] Plc
CSW	Amundi Investment Solutions
CSX5	Ishares Vii Plc
CT5	Amundi ETF
CTAG	Cloudtag Inc
CTG	Christie Group Plc
CTH	Caretech Holdings Plc
CTI	Cathay International Holdings Ld
CTO	Clarke [T.] Plc
CTP	Castleton Technology Plc
CTR	Charles Taylor Plc
CTY	City of London Investment Trust Plc
CU01	Ishares Vii Plc
CU1	Ishares Vii Plc
CU2	Amundi ETF
CU2U	Amundi ETF
CU31	Ishares Vii Plc
CU71	Ishares Vii Plc
CUK	Amundi Investment Solutions
CUKL	CS ETF [Ie] Plc
CUKS	CS ETF [Ie] Plc
CUKX	CS ETF [Ie] Plc
CURY	Lam Zyfin Global Markets Ucits ETF Plc
CUS1	Ishares Vii Plc
CUSS	CS ETF [Ie] Plc
CVB	Coventry Building Society
CVBP	Coventry Building Society
CVR	Conviviality Retail Plc
CVSG	CVS Group Plc
CW14	Sga Societe Generale Acc
CW8	Amundi ETF
CW8U	Amundi ETF
CWC	Cable & Wireless Communications Plc
CWD	Countrywide Plc
CWE	Amundi Investment Solutions
CWF	Amundi Investment Solutions
CWK	Cranswick Plc
CWR	Ceres Power Holdings Plc
CYAN	Cyan Holdings Plc
CYN	City Natural Resources High Yield Trust
CYNC	City Natural Resources High Yield Trust
CYS	Chrysalis Vct Plc
CZA	Coal of Africa Limited
CZB	Commerzbank Ag
D4OA	Downing Four Vct Plc
D4OO	Downing Four Vct Plc
DAB	Dexion Absolute Ltd
DAIP	Daily Internet Plc
DAL	Dalata Hotel Group Plc
DALR	Dalradian Resources Inc.
DAXIV	Recon Capital DAX ETF In
DAXX	Multi Units Luxembourg
DBRC	Ishares II Plc
DC	Dixons Carphone
DCC	Dcc Plc
DCD	Dcd Media Plc
DCG	Dairy Crest Group Plc
DCI	Dolphin Capital Investors Limited
DCP	Diamondcorp Plc
DDD	DDD Group Plc
DDDD	4D Pharma Plc
DDV1	Downing One Vct Plc
DEB	Debenhams Plc
DEGOV01	FTSE Germany Government
DEIN	Ishares II Plc
DEL2	Go Ucits ETF Solutions P
DEM	Wisdomtree Issuer Plc
DEMA	Wisdomtree Issuer Plc
DEMAEIV	Wisdomtree Emerging Asia Equity Income U
DEMD	Wisdomtree Issuer Plc
DEMEIV	Wisdomtree Emerging Mark
DEMG	Deltex Medical Group Plc
DEMP	Wisdomtree Issuer Plc
DEMV	Ossiam Lux
DES2	Go Ucits ETF Solutions P
DESD	Wisdomtree Issuer Plc
DESE	Wisdomtree Issuer Plc
DESEEIV	Wisdomtree US Smallcap D
DFE	Wisdomtree Issuer Plc
DFEE	Wisdomtree Issuer Plc
DFEIV	Wisdomtree Europe Smallc
DFS	Dfs Furniture Plc
DGB	Digital Barriers Plc
DGE	Diageo Plc
DGED	Diageo Plc
DGS	Digital Globe Services
DGSD	Wisdomtree Issuer Plc
DGSE	Wisdomtree Issuer Plc
DGSEEIV	Wisdomtree Emerging Mark
DH2O	Ishares II Plc
DHS	Wisdomtree Issuer Plc
DHSD	Wisdomtree Issuer Plc
DHSEIV	Wisdomtree US Equity Inc
DIA	Dialight Plc
DIG	Dunedin Income Growth Investment Trust P
DIGS	Gcp Student Living Plc
DIL2	Damille Investments II L
DIS	Distil Plc
DISG	Multi Units Luxembourg
DISW	Multi Units Luxembourg
DIV	Multi Units France
DIVI	Diverse Income Trust [The] Plc
DJAN	Daejan Holdings Plc
DJEL	Lyxor International Asse
DJEU	Lyxor International Asse
DJI	Dji Holdings Plc
DJMC	Ishares Plc
DJSC	Ishares Plc
DJUB	Barclays Bank Plc
DKL	Dekeloil Public Limited
DKUS	FTSE Nasdaq Dubai Kuwait 15 Shariah Inde
DKUW	FTSE Nasdaq Dubai Kuwait 15 Index
DL2P	Go Ucits ETF Solutions P
DLAR	De La Rue Plc
DLG	Direct Line Insurance Gr
DLN	Derwent London Plc
DLTM	Ishares II Plc
DMGT	Daily Mail & General Trust Plc
DNA	Doric Nimrod Air One Limited
DNA2	Doric Nimrod Air Two Lim
DNA3	Doric Nimrod Air Three L
DNDL	Dunedin Smaller Companies Investment Tru
DNE	Dunedin Enterprise Investment Trust Plc
DNLM	Dunelm Group Plc
DNRG	Ishares II Plc
DO1B	Downing Four Vct Plc
DO1D	Downing Four Vct Plc
DO1O	Downing Four Vct Plc
DODS	Dods [Group] Plc
DOM	Domino's Pizza Group Plc
DOTD	Dotdigital Group Plc
DP2A	Downing Two Vct Plc
DP2C	Downing Two Vct Plc
DP2D	Downing Two Vct Plc
DP3C	Downing Three Vct Plc
DP3D	Downing Three Vct Plc
DP3F	Downing Three Vct Plc
DPA	Dp Aircraft I Limited
DPH	Dechra Pharmaceuticals Plc
DPLM	Diploma Plc
DPP	Dp Poland Plc
DQAS	FTSE Nasdaq Dubai Qatar 10 Shariah Index
DQAT	FTSE Nasdaq Dubai Qatar 10 Index
DQE	Dq Entertainment Plc
DREF	Duet Real Estate Finance Limited
DRG	Draganfly Investments Limited
DRIP	Drum Income Plus REIT Pl
DRS	Drs Data & Research Services Plc
DRTY	Darty Plc
DRV	Driver Group Plc
DRX	Drax Group Plc
DS2P	Go Ucits ETF Solutions P
DSC	Development Securities Plc
DSG	Dillistone Group Plc
DSN	Densitron Technologies Plc
DSUG	Multi Units France
DSUK	Multi Units France
DSUS	Multi Units France
DTC	Datatec Limited
DTG	Dart Group Plc
DTY	Dignity Plc
DUAE	FTSE Nasdaq Dubai UAE 20 Index USD
DUAED	FTSE Nasdaq Dubai UAE 20 Index Aed
DUKE	Duke Royalty Limited
DUPD	Dragon-Ukrainian Properties & Developmen
DVO	Devro Plc
DVW	Dee Valley Group Plc
DVWA	Dee Valley Group Plc
DWCG	DW Catalyst Fund Limited
DWCU	DW Catalyst Fund Limited
DWHA	Dewhurst Plc
DWHT	Dewhurst Plc
DWOD	Ishares II Plc
DX	DX Group
DXGP	Wisdomtree Issuer Plc
DXGPIV	Wisdomtree Germany Equit
DXGYEIV	Wisdomtree Germany Equity Ucits ETF - EU
DXJ	Wisdomtree Issuer Plc
DXJEIV	Wisdomtree Japan Equity
DXJFEIV	Wisdomtree Japan Equity Ucits ETF - EUR
DXJP	Wisdomtree Issuer Plc
DXJZEIV	Wisdomtree Japan Equity Ucits ETF - Jpy
DY64	UK Treasury Strip
E0500	FTSE Eurofirst Oil & Gas
E0EU	FTSE Epra/Nareit Euro Zo
E0RA	FTSE Epra/Nareit Europe
E0UK	FTSE Epra/Nareit Europe
E1300	FTSE Eurofirst Chemicals
E1700	FTSE Eurofirst Basic Res
E1X	FTSE Eurotop 100
E20Y	Ishares IV Plc
E2300	FTSE Eurofirst Construct
E2700	FTSE Eurofirst Industria
E2V	E2V Technologies Plc
E3300	FTSE Eurofirst Automobil
E3500	FTSE Eurofirst Food & BE
E3700	FTSE Eurofirst Personal
E3X	FTSE Eurofirst 300
E3X0001	FTSE Efst300 Oil & Gas
E3X0530	FTSE Efst300 Oil & Gas P
E3X0580	Ftseurofirst 300 Alterna
E3X1000	FTSE Efst300 Basic Mater
E3X1350	FTSE Efst300 Chemicals
E3X1730	FTSE Efst300 Forestry &
E3X1750	FTSE Efst300 Industrial
E3X1770	FTSE Efst300 Mining
E3X2000	FTSE Efst300 Industrials
E3X2350	FTSE Efst300 Constructio
E3X2710	FTSE Efst300 Aerospace &
E3X2720	FTSE Efst300 General Ind
E3X2730	FTSE Efst300 Electronic&
E3X2750	FTSE Efst300 Industrial
E3X2770	FTSE Efst300 Industrial
E3X2790	FTSE Efst300 Support Ser
E3X3000	FTSE Efst300 Consumer Go
E3X3350	FTSE Efst300 Automobiles
E3X3530	FTSE Efst300 Beverages
E3X3570	FTSE Efst300 Food Produc
E3X3720	FTSE Efst300 Household G
E3X3760	FTSE Efst300 Personal Go
E3X3780	FTSE Efst300 Tobacco
E3X4000	FTSE Efst300 Health Care
E3X4530	FTSE Efst300 Health Care
E3X4570	FTSE Efst300 Pharmaceuti
E3X5000	FTSE Efst300 Consumer Se
E3X5330	FTSE Efst300 Food & Drug
E3X5370	FTSE Efst300 General Ret
E3X5550	FTSE Efst300 Media
E3X5750	FTSE Efst300 Travel & Le
E3X6000	FTSE Efst300 Telecommuni
E3X6530	FTSE Efst300 Fixed Line
E3X6570	FTSE Efst300 Mobile Tele
E3X7000	FTSE Efst300 Utilities
E3X7530	FTSE Efst300 Electricity
E3X7570	FTSE Efst300 Gas Water &
E3X8000	FTSE Efst300 Financials
E3X8350	FTSE Efst300 Banks
E3X8530	FTSE Efst300 Nonlife Ins
E3X8570	FTSE Efst300 Life Insura
E3X8630	Ftseurofirst 300  Real Estate Investment
E3X8670	FTSE Eurofirst 300 Real
E3X8770	FTSE Efst300 General Fin
E3X9000	FTSE Efst300 Technology
E3X9530	FTSE Efst300 Software&Co
E3X9570	FTSE Efst300 Technology
E4500	FTSE Eurofirst Health CA
E5300	FTSE Eurofirst Retail
E5500	FTSE Eurofirst Media
E5700	FTSE Eurofirst Travel &
E6500	FTSE Eurofirst Telecommu
E7500	FTSE Eurofirst Utilities
E8300	FTSE Eurofirst Banks
E8500	FTSE Eurofirst Insurance
E8600	FTSE Eurofirst Supersect
E8700	FTSE Eurofirst Financial
E9500	FTSE Eurofirst Technolog
EAH	Eco Animal Health Group Plc
EAS	Energy Assets Group Plc
EAST	Eastpharma Ltd
EAT	European Assets Trust Nv
EB0500	FTSE Eurofirst Euro Oil
EB1300	FTSE Eurofirst Euro Chem
EB16	European Investment Bank
EB1700	FTSE Eurofirst Euro Basi
EB1X	FTSE Euro 100
EB2300	FTSE Eurofirst Euro Cons
EB2700	FTSE Eurofirst Euro Indu
EB3300	FTSE Eurofirst Euro Auto
EB3500	FTSE Eurofirst Euro Food
EB3700	FTSE Eurofirst Euro Pers
EB4500	FTSE Eurofirst Euro Heal
EB5300	FTSE Eurofirst Euro Reta
EB5500	FTSE Eurofirst Euro Medi
EB5700	FTSE Eurofirst Euro Trav
EB6500	FTSE Eurofirst Euro Tele
EB7500	FTSE Eurofirst Euro Util
EB8300	FTSE Eurofirst Euro Bank
EB8500	FTSE Eurofirst Euro Insu
EB8600	FTSE Eurofirst Eurozone
EB8700	FTSE Eurofirst Euro Fina
EB9500	FTSE Eurofirst Euro Tech
EBGOV01	FTSE All Eurozone Govern
EBGOV03	FTSE All Eurozone Govern
EBGOV05	FTSE All Eurozone Govern
EBGOV07	FTSE All Eurozone Govern
EBGOV10	FTSE All Eurozone Govern
EBGOV30	FTSE All Eurozone Govern
EBIV	Eastbridge Investments P
EBQ	Ebiquity Plc
ECAP	Elephant Capital Plc
ECEL	Eurocell Plc
ECK	Eckoh Plc
ECM	Electrocomponents Plc
ECR	Ecr Minerals Plc
ECV	Eco City Vehicles Plc
ECWL	Ecofin Water & Power Opportunities Plc
ECWO	Ecofin Water & Power Opportunities Plc
ECWZ	EW&Po Finance Plc
EDCL	Eurasia Drilling Company
EDEN	Eden Research Plc
EDG	Edge Resources Inc
EDGC	Edge Performance Vct Plc
EDGD	Edge Performance Vct Plc
EDGE	Edge Performance Vct Plc
EDGF	Edge Performance Vct Plc
EDGG	Edge Performance Vct Plc
EDGH	Edge Performance Vct Plc
EDGI	Edge Performance Vct Plc
EDHAPAC	FTSE Edhec Risk Asia/Pacific
EDHAPXJ	FTSE Edhec Risk Asia/Pacific Ex JP
EDHAW	FTSE Edhec Risk All World
EDHAWXUK	FTSE Edhec Risk All Ex UK
EDHAWXUS	FTSE Edhec Risk All Ex US
EDHDAXJ	FTSE Edhec-Risk Efficient Developed Asia
EDHDEUR	FTSE Edhec Risk Dvlp EUR
EDHDEUXU	FTSE Edhec Risk Dvlp EUR Ex UK
EDHDEV	FTSE Edhec Risk Dvlp
EDHDXJ	FTSE Edhec Risk Eff Dev Japan
EDHDXUS	FTSE Edhec-Risk Efficien
EDHEBLOC	FTSE Edhec-Risk Efficient Eurobloc Index
EDHEMER	FTSE Edhec Risk Emerging
EDHJPN	FTSE Edhec Efficient Japan
EDHUK	FTSE Edhec Risk UK
EDHUSA	FTSE Edhec Risk US
EDIN	Edinburgh Investment Trust Plc
EDL	Edenville Energy Plc
EDP	Electronic Data Processing Plc
EDR	Egdon Resources Plc
EDV	Elderstreet Vct Plc
EDVD	SSGA SPDR ETFS Europe I Plc
EEI	Wisdomtree Issuer Plc
EEIE	Wisdomtree Issuer Plc
EEIIV	Wisdomtree Europe Equity
EEMB	Ishares II Plc
EEP	Eastern European Property Fund Limited
EEUI	FTSE Epra/Nareit Developed EMEA Index
EEX5	Ishares III Plc
EEXF	Ishares III Plc
EF80	FTSE Eurofirst 80
EFC1	FTSE Eurofirst 100
EFGD	Efg-Hermes Holding S.A.E
EFID	Edita Food Industries S.
EFIE	Source Markets Public Li
EFIS	Source Markets Public Li
EFIW	Source Markets Public Li
EFM	Edinburgh Dragon Trust Plc
EFMC	Edinburgh Dragon Trust Plc
EG20	Ishares IV Plc
EGAS	Epra Asia Index [Eur]
EGIL	Ishares III Plc
EGMD	Evergreen Marine Corpora
EGNA	Epra North America Index
EGS	EG Solutions Plc
EGXU	Epra/Nareit Global [Ex Us] Index
EHG	Elegant Hotels Group Plc
EHP	Epistem Holdings Plc
EIB	European Investment Bank
EIH	Eih Plc
EIIB	European Islamic Investment Bank Plc
EIMI	Ishares Plc
EKF	Ekf Diagnostics Holdings Plc
EKT	Elektron Technology Plc
ELA	Eland Oil & Gas Plc
ELAU	Epra Australia Index
ELCO	Eleco Plc
ELE	Electric Word Plc
ELHK	Epra Hong Kong Index
ELJP	Epra Japan Index
ELLA	Ecclesiastical Insurance Office Plc
ELM	Elementis Plc
ELOW	SSGA SPDR ETFS Europe II
ELSA	Societatea Comerciala De
ELTA	Electra Private Equity Plc
ELTC	Electra Private Equity Plc
ELTZ	Electra Private Equity Investments Plc
ELUK	Epra UK Index
ELUKNUK	FTSE Epra/Nareit UK Net
ELX	El Oro Ltd
EMAD	SSGA SPDR ETFS Europe I Plc
EMAN	Everyman Media Group Plc
EMAS	SSGA SPDR ETFS Europe I Plc
EMBB	SSGA SPDR ETFS Europe II
EMBD	Lyxor Index Fund
EMBE	Ishares Vi Plc (The Comp
EMBL	Lyxor Index Fund
EMCB	SSGA SPDR ETFS Europe I
EMCO	SSGA SPDR ETFS Europe I
EMCP	Ishares V Public Limited Company
EMCR	Ishares V Public Limited Company
EMDD	SSGA SPDR ETFS Europe I Plc
EMDL	SSGA SPDR ETFS Europe I Plc
EMDV	SSGA SPDR ETFS Europe I Plc
EME	Empyrean Energy Plc
EMEO	SSGA SPDR ETFS Europe I Plc
EMG	Man Group Plc
EMH5	SSGA SPDR ETFS Europe II
EMIL	SSGA SPDR ETFS Europe I
EMIM	Ishares Plc
EMIN	SSGA SPDR ETFS Europe I
EMIS	Emis Group Plc
EMLA	SSGA SPDR ETFS Europe I Plc
EMLB	Pimco Fixed Income Source ETFS Plc
EMLD	SSGA SPDR ETFS Europe I Plc
EMLI	Pimco Fixed Income Sourc
EMLP	Pimco Fixed Income Sourc
EMM	Emerging Market Minerals
EMMV	Ishares Vi Plc (The Comp
EMOD	SSGA SPDR ETFS Europe I Plc
EMR	Empresaria Group Plc
EMRD	SSGA SPDR ETFS Europe I Plc
EMRG	SSGA SPDR ETFS Europe I Plc
EMSD	SSGA SPDR ETFS Europe I Plc
EMSM	SSGA SPDR ETFS Europe I Plc
EMUE	SSGA SPDR ETFS Europe I
EMUL	Ishares IV Plc
EMUM	Ishares IV Plc
EMUU	Ishares Vii Plc
EMV	Ishares Vi Plc (The Comp
EMXB	SSGA SPDR ETFS Europe II
ENA3	FTSE Epra/Nareit Asia 33
ENAD	Epra/Nareit Asia Index [Us Version]
ENDEM	FTSE Epra/Nareit Developed Ex Mea Index
ENDP	FTSE Epra Europe Ex UK Dividend +
ENEA	FTSE Epra/Nareit Emer Asia Pac Index
ENEE	FTSE Epra/Nareit Europe Non-Reit
ENEF	ETFS Commodity Securities Limited
ENEI	FTSE Epra/Nareit Emerging Index
ENEL	FTSE Epra/Nareit Emer Americas Index
ENEM	FTSE Epra/Nareit Emerging EMEA Index
ENEU	FTSE Epra/Nareit Emerging Europe Index
ENFX	ETFS Foreign Exchange Li
ENGD	Epra/Nareit Global Index
ENGI	Energiser Investments Plc
ENGL	Epra Global Index
ENGY	SSGA SPDR ETFS Europe II
ENHA	FTSE Epra/Nareit Americas Index
ENHE	FTSE Epra/Nareit Global Ex US Index
ENHG	FTSE Epra/Nareit Global Index
ENHM	FTSE Epra/Nareit Middle East and Africa
ENHN	FTSE Epra/Nareit EMEA Index
ENHP	FTSE Epra/Nareit Asia Pacific Index
ENHU	FTSE Epra/Nareit Europe Index
ENME	FTSE Epra/Nareit Emer M East&Africa Idx
ENQ	Enquest Plc
ENQ1	Enquest Plc
ENRE	UBS Ag
ENRG	UBS Ag
ENRT	Environmental Recycling Tech. Plc
ENTU	Entu (Uk) Plc
ENUD	Epra/Nareit US Index
ENXGUS	FTSE  Epra/Nareit Global
EO100	FTSE Env Opportunities 1
EOAIM	FTSE Evm Opport Aim Index
EOAP	FTSE Evm Opport Asia Pac Index
EOAS	FTSE Env Opp All-Shares Idx
EOAX	FTSE Evm Opport Asia Pac Ex-Japan Index
EOEE	FTSE Env Opp Energy Eff Idx
EOEE50	FTSE Env Opp Energy Eff
EOEU	FTSE Evm Opport Europe Index
EOG	Europa Oil & Gas [Holdings] Plc
EOJP	FTSE Evm Opportjapan Index
EORE	FTSE Env Opp Re+Alt Energy Eff Idx
EORE50	FTSE Env Opp Re+Alt Ener
EOUK	FTSE Evm Opport UK Index
EOUS	FTSE Evm Opport US Index
EOWP	FTSE Env Opp Waste+Pollution Control Idx
EOWP30	FTSE Env Opp Waste+Pollu
EOWR	FTSE Env Opp Water Tech Index
EOWR30	FTSE Env Opp Water Tech
EPEU	Epra Euro Zone Index
EPG	Ep Global Opportunities Trust Plc
EPHG	Epra Europe [Uk Restricted] Index
EPIC	Ediston Property Investm
EPIS	Epistar Corporation
EPO	Earthport Plc
EPRA	Epra Europe Index
EPRE	Amundi ETF
EPWN	Epwin Group Plc
EQN	Equiniti Group Plc
EQQQ	Powershares Glbal Funds Ireland Plc
EQQU	Powershares Glbal Funds
EREE	FTSE Epra/Nareit Europe REIT
ERET	European Real Estate Inv
ERGO	Ergomed Plc
ERM	Euromoney Institutional Investor Plc
ERN1	Ishares IV Plc
ERND	Ishares IV Plc
ERNE	Ishares IV Plc
ERNS	Ishares IV Plc
ERNU	Ishares IV Plc
ERO	SSGA SPDR ETFS Europe II
ERO1	Eros International Plc
ES15	Ishares Plc
ESCH	Escher Group Holdings Public Limited Com
ESG	Eservglobal Limited
ESGOV01	FTSE Spain Government To
ESM	Amundi Investment Solutions
ESNT	Essentra Plc
ESO	Epe Special Opportunities Plc
ESP	Empiric Student Property
ESR	Ensor Holdings Plc
ESSG	UBS Ag
ESSU	UBS Ag
ESUR	Esure Group Plc
ET	Establishment Investment Trust
ET100	FTSE Et100
ET50	FTSE Et50 Index
ETI	Enterprise Inns Plc
ETLN	Etalon Group Limited
ETO	Entertainment One Limited
ETQ	Energy Technique Plc
ETX	E-Therapeutics Plc
EU13	SSGA SPDR ETFS Europe I
EU5L	Sg Issuer
EU5S	Sg Issuer
EUA	Eurasia Mining Plc
EUAG	SSGA SPDR ETFS Europe I
EUCF	Ishares Vi Plc (The Comp
EUCO	SSGA SPDR ETFS Europe I
EUDI	SSGA SPDR ETFS Europe I Plc
EUDV	SSGA SPDR ETFS Europe I Plc
EUE	Ishares II Plc
EULC	Ishares IV Plc
EUMC	Ishares IV Plc
EUMV	Ossiam Lux
EUN	Ishares II Plc
EUP3	ETFS Foreign Exchange Li
EURCORPA	
EURO	SSGA SPDR ETFS Europe I
EURP	ETFS Foreign Exchange Limited
EUSC	SSGA SPDR ETFS Europe II
EUSP	EU Supply Plc
EUSV	SSGA SPDR ETFS Europe II
EUT	The European Investment Trust Plc
EUXS	Ishares Plc
EVAL	SSGA SPDR ETFS Europe II
EVG	Evgen Pharma Plc
EVO	Evocutis Plc
EVR	Evraz Plc
EWG	EW Group Limited
EWI	Edinburgh Worldwide Investment Trust Plc
EXEF	ETFS Commodity Securities Limited
EXFN	Ishares II Plc
EXI	Exillon Energy Plc
EXO	Exova Group Plc
EXPN	Experian Plc
EXUK	Epra Europe Ex UK Index
EYE	Eagle Eye Solutions Grou
EZH	Easyhotel Plc
EZJ	Easyjet Plc
EZXU	Source Markets Public Li
F4GAS	Ftse4Goodaseanind
F4GEM	Ftse4Goodemergind
F4GLA	Ftse4Goodemlatamind
FAGR	ETFS Commodity Securities Limited
FAIC	Fair Oaks Income Fund Li
FAIG	ETFS Commodity Securities Limited
FAIR	Fair Oaks Income Fund Li
FAM	Finnaust Mining Plc
FAN	Volution Group Plc
FAP	Ulster Bank Ireland Ld
FARN	Faron Pharmaceuticals Oy
FAS	Fidelity Asian Values Plc
FAST	Fastnet Oil & Gas Plc
FAUSA	FTSE Asfa Australia All-Share Index
FAUSLC	FTSE Asfa Australia Large Cap 50 Index
FAUSLMC	FTSE Asfa Australia 200 Index
FAUSMC	FTSE Asfa Australia Mid Cap 150 Index
FAUSO	FTSE Asfa Australia 100 Index
FAUSSC	FTSE Asfa Australia Small Cap Index
FAUST	FTSE Asfa Australia 300 Index
FAUSX	FTSE Asfa Australia All-Share Ex 100 Ind
FBBRC	FTSE Beyond Brics Index
FBBRCN	FTSE Beyond Brics Net of
FBDU	Flying Brands Ld
FBH	Fbd Holdings Plc
FBRIC	FTSE BRIC 50 Index
FBRIC50	FTSE Rafi BRIC Index
FBRT	ETFS Commodity Securities Limited
FBT	Forbidden Technologies Plc
FCCN	French Connection Group Plc
FCI	F&C Capital & Income Investment Trust Pl
FCIF	Funding Circle Sme Income Fund Limited
FCNBCA	
FCNBCG	
FCPT	F&C Commercial Property Trust Limited
FCR	Ferrum Crescent Limited
FCRE	F&C UK Real Estate Inves
FCRM	Fulcrum Utility Services Ld
FCRU	ETFS Commodity Securities Limited
FCS	F&C Global Smaller Companies Plc
FCSC	F&C Global Smaller Compa
FCSE	FTSE Cse Morocco 15 Index
FCSELIQ	FTSE Cse Morocco All-Liquid Index
FCSS	Fidelity China Special Situations Plc
FDAPQVY5	FTSE Developed Asia Pacific Qual/Vol/Yie
FDBK	Feedback Plc
FDEFQVY5	FTSE Developed Europe Qual/Vol/Yield 5%
FDEV	Frontier Developments Pl
FDI	Firestone Diamonds Plc
FDL	Findel Plc
FDM	Fdm Group (Holdings) Plc
FDP	First Derivatives Plc
FDSA	Fidessa Group Plc
FDXUCPFR	FTSE Developed Ex US Comprehensive Facto
FDXULBR	FTSE Developed Ex US Low Beta Equal Weig
FEC	Far Eastone Telecommunic
FECPFR	FTSE Emerging Comprehensive Factor Net T
FEDF	Multi Units Luxembourg
FEDG	Multi Units Luxembourg
FEES	Jsc Federal Grid Company
FEET	Fundsmith Emerging Equit
FEM	First Trust Global Funds
FEMU	First Trust Global Funds
FEN	Frenkel Topping Group Plc
FENR	Fenner Plc
FETD	Far Eastern New Century
FEUZ	First Trust Global Funds
FEV	Fidelity European Values Plc
FEVR	Fevertree Drinks Plc
FEX	First Trust Global Funds
FEXD	First Trust Global Funds
FEXU	First Trust Global Funds
FF50	FTSE Frontier 50 Index
FFWD	Fastforward Innovations Limited
FFX	Fairfx Group Plc
FFY	Fyffes Plc
FGBL	First Trust Global Funds
FGP	Firstgroup Plc
FGT	Finsbury Growth & Income Trust Plc
FH01	FTSE Asiatop Index
FH02	FTSE Asiatop Capped
FIF	Finsbury Food Group Plc
FIGOV01	FTSE Finland Government
FIND	ETFS Commodity Securities Limited
FING	Multi Units Luxembourg
FINL	Lyxor International Asse
FINU	Lyxor International Asse
FINW	Multi Units Luxembourg
FIPP	Frontier Ip Group Plc
FISH	Fishing Republic Plc
FITB	Fitbug Holdings Plc
FIVE	X5 Retail Group N.V
FJET	Fastjet Plc
FJP	First Trust Global Funds
FJV	Fidelity Japanese Values Plc
FJVS	Fidelity Japanese Values Plc
FKE	Fiske Plc
FKL	Falkland Islands Holdings Plc
FKU	First Trust Global Funds
FLEG	UBS Ag
FLFQVVF	FTSE Latin America Qual/
FLIV	ETFS Commodity Securities Limited
FLK	Fletcher King Plc
FLKS	FTSE Lujain Kuwait Shariah Index
FLKW	FTSE Lujain Kuwait Index
FLO	Flowtech Fluidpower Plc
FLOW	Flowgroup Plc
FLX	Falanx Group Limited
FLYB	Flybe Group Plc
FMIBI1	FTSE MIB Short Strategy
FMIBI1X	FTSE MIB Daily Short Str
FMIBI2	FTSE MIB Daily Super Sho
FMIBI2X	FTSE MIB Daily Super Sho
FMIBI3X	FTSE MIB Daily Ultra Sho
FMIBI5X	FTSE MIB Gross TR Index
FMIBL2	FTSE MIB Daily Leveraged
FMIBL2X	FTSE MIB Daily Leveraged
FMIBL3X	FTSE MIB Daily Super Lev
FMIBL4X	FTSE MIB Daily Ultra Lev
FMIBL5X	FTSE MIB TR Index
FMPG	F&C Managed Portfolio Trust Plc
FMPI	F&C Managed Portfolio Trust Plc
FN10	FTSE Nareit Equity Diver
FN11	FTSE Nareit Equity Healt
FN12	FTSE Nareit Equity Self
FN13	FTSE Nareit Equity Indus
FN13C	FTSE Nareit Industrial/O
FN14	FTSE Nareit Equity Indus
FN15	FTSE Nareit Equity Offic
FN16	FTSE Nareit Equity Mixed
FN17	FTSE Nareit Equity Resid
FN17C	FTSE Nareit All Resident
FN18	FTSE Nareit Equity Apart
FN19	FTSE Nareit Equity Manuf
FN20	FTSE Nareit Equity Retai
FN20C	FTSE Nareit Retail Cappe
FN21	FTSE Nareit Equity Shopp
FN22	FTSE Nareit Equity Regio
FN23	FTSE Nareit Equity Free
FN24	FTSE Nareit Equity Lodgi
FN26	FTSE Nareit Timber
FN28	FTSE Nareit Infrastructu
FN42	FTSE Nareit Mortgage Hom
FN43	FTSE Nareit Mortgage Com
FNAR	FTSE Nareit All Reits
FNCL	SSGA SPDR ETFS Europe II
FNCO	FTSE Nareit Composite
FNER	FTSE Nareit Equity Reits
FNKEN1	FTSE Nse Kenya 15 Index
FNKEN2	FTSE Nse Kenya 25 Index
FNMR	FTSE Nareit Mortgage Reits
FNMRC	FTSE Nareit All Mortgage Capped Index
FNR5	FTSE Nareit Real Estate
FNRE	FTSE Nareit Equity
FOG	Falcon Oil & Gas Ltd.
FOGL	Falkland Oil and Gas Limited
FOOD	UBS Ag
